loss_total,loss_ave,frequency,weight,age,car_type,car_year
2384,298,8,249,1,1,1
3720,372,10,331,1,2,1
1701,189,9,112,1,3,1
2289,763,3,214,1,4,1
5436,302,18,194,2,1,1
24780,420,59,471,2,2,1
11792,268,44,3,2,3,1
9768,407,24,315,2,4,1
15008,268,56,274,3,1,1
34375,275,125,355,3,2,1
54442,334,163,340,3,3,1
27576,383,72,116,3,4,1
10148,236,43,446,4,1,1
46361,259,179,58,4,2,1
66980,340,197,124,4,3,1
41600,400,104,15,4,4,1
8901,207,43,378,4,1,1
39728,208,191,289,4,2,1
52710,251,210,241,4,3,1
27727,233,119,288,4,4,1
22860,254,90,326,5,1,1
61040,218,280,215,5,2,1
95839,239,401,183,5,3,1
77013,387,199,323,5,4,1
17319,251,69,83,6,1,1
71736,196,366,438,6,2,1
83080,268,310,176,6,3,1
41055,391,105,217,6,4,1
16896,264,64,407,7,1,1
51072,224,228,18,7,2,1
49227,269,183,452,7,3,1
23870,385,62,452,7,4,1
2256,282,8,261,1,1,2
8232,294,28,382,1,2,2
3744,288,13,22,1,3,2
1700,850,2,81,1,4,2
6014,194,31,109,2,1,2
23328,243,96,246,2,2,2
13377,343,39,72,2,3,2
5760,320,18,333,2,4,2
15675,285,55,186,3,1,2
41796,243,172,431,3,2,2
35346,274,129,476,3,3,2
15250,305,50,54,3,4,2
14310,270,53,63,4,1,2
47686,226,211,353,4,2,2
32500,260,125,131,4,3,2
19195,349,55,105,4,4,2
9417,129,73,76,4,1,2
46866,214,219,266,4,2,2
65892,323,204,331,4,3,2
13975,325,43,445,4,4,2
20874,213,98,27,5,1,2
90706,209,434,240,5,2,2
63250,250,253,262,5,3,2
26312,299,88,159,5,4,2
27240,227,120,286,6,1,2
80837,229,353,27,6,2,2
37000,250,148,262,6,3,2
10488,228,46,41,6,4,2
19800,198,100,141,7,1,2
44969,193,233,419,7,2,2
26574,258,103,366,7,3,2
7128,324,22,91,7,4,2
532,133,4,126,1,1,3
288,288,1,485,1,2,3
179,179,1,301,1,3,3
0,0,0,91,1,4,3
1350,135,10,414,2,1,3
2548,196,13,22,2,2,3
2051,293,7,214,2,3,3
410,205,2,166,2,4,3
3077,181,17,107,3,1,3
6444,179,36,406,3,2,3
3744,208,18,438,3,3,3
696,116,6,474,3,4,3
2400,160,15,139,4,1,3
6279,161,39,171,4,2,3
5670,189,30,51,4,3,3
1176,147,8,55,4,4,3
3297,157,21,309,4,1,3
6854,149,46,181,4,2,3
4512,32,141,494,4,3,3
828,207,4,60,4,4,3
5215,149,35,364,5,1,3
16684,172,97,315,5,2,3
8700,174,50,199,5,3,3
2600,325,8,204,5,4,3
7224,172,42,225,6,1,3
15580,164,95,265,6,2,3
5775,175,33,332,6,3,3
3460,346,10,466,6,4,3
7181,167,43,339,7,1,3
12994,178,73,371,7,2,3
4540,227,20,329,7,3,3
1152,192,6,213,7,4,3
160,160,1,482,1,1,4
11,11,1,440,1,2,4
0,0,0,430,1,3,4
0,0,0,391,1,4,4
664,166,4,25,2,1,4
405,135,3,36,2,2,4
208,104,2,89,2,3,4
0,0,0,490,2,4,4
1320,110,12,382,3,1,4
2640,264,10,482,3,2,4
1200,150,8,365,3,3,4
636,636,1,450,3,4,4
1320,110,12,274,4,1,4
2033,107,19,392,4,2,4
936,104,9,351,4,3,4
130,65,2,86,4,4,4
1582,113,14,313,4,1,4
3151,137,23,262,4,2,4
8,8,1,242,4,3,4
0,0,0,35,4,4,4
2156,98,22,27,5,1,4
6490,110,59,151,5,2,4
1935,129,15,43,5,3,4
1233,137,9,186,5,4,4
3430,98,35,316,6,1,4
5940,132,45,279,6,2,4
1976,152,13,134,6,3,4
167,167,1,38,6,4,4
6042,114,53,207,7,1,4
4444,101,44,369,7,2,4
714,119,6,26,7,3,4
738,123,6,149,7,4,4
